Compound ID,smiles,measured log(solubility:mol/L),ESOL predicted log(solubility:mol/L)
"1,1,1,2-Tetrachloroethane",ClCC(Cl)(Cl)Cl,-2.18,-2.794
"1,1,2,2-Tetrachloroethane",ClC(Cl)C(Cl)Cl,-1.74,-2.438
"1,1,1-Trichloroethane",CC(Cl)(Cl)Cl,-2.0,-2.535
"1,2-Dichloroethane",ClCCCl,-1.43,-1.604
Benzene,c1ccccc1,-1.32,-1.688
Toluene,Cc1ccccc1,-2.16,-2.232
Naphthalene,c1ccc2ccccc2c1,-3.3,-3.003
Fluorene,c1ccc2cc3ccccc3cc2c1,-4.78,-4.036
Anthracene,c1ccc2cc3ccccc3cc2c1,-6.4,-4.817
Phenanthrene,c1ccc2c(c1)ccc1ccccc12,-4.88,-4.504
Pyrene,c1cc2ccc3cccc4ccc(c1)c2c34,-6.17,-5.287
Acenaphthylene,C1=CC2=CC=CC3=CC=CC1=C23,-5.48,-4.388
Acenaphthene,C1CCC2=CC=CC3=CC=CC1=C23,-4.81,-4.024
Phenol,Oc1ccccc1,-0.76,-1.025
o-Cresol,Cc1ccccc1O,-1.4,-1.47
m-Cresol,Cc1cccc(O)c1,-1.2,-1.47
p-Cresol,Cc1ccc(O)cc1,-1.43,-1.47
"2,4-Dimethylphenol",Cc1ccc(O)c(C)c1,-1.85,-1.913
"2,4,6-Trimethylphenol",Cc1cc(C)cc(C)c1O,-1.96,-2.356
Catechol,Oc1ccccc1O,0.02,-0.345
Resorcinol,Oc1cccc(O)c1,0.32,-0.337
Aniline,Nc1ccccc1,-0.73,-0.759
Nitrobenzene,O=[N+]([O-])c1ccccc1,-1.85,-1.753
o-Nitrophenol,Oc1ccccc1[N+](=O)[O-],-2.81,-2.141
Benzoic acid,OC(=O)c1ccccc1,-1.87,-1.622
Aspirin,CC(=O)Oc1ccccc1C(=O)O,-1.95,-2.095
Ibuprofen,CC(C)Cc1ccc(cc1)C(C)C(=O)O,-4.31,-3.919
Paracetamol,CC(=O)Nc1ccc(O)cc1,-0.9,-1.034
Caffeine,Cn1cnc2c1c(=O)n(c(=O)n2C)C,-1.09,-1.449
Glucose,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,1.0,0.435
Fructose,OC[C@@H]1OC(O)(CO)[C@@H](O)[C@@H]1O,1.73,0.697
Sucrose,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,0.79,0.536
Urea,NC(N)=O,1.0,0.972
Glycine,NCC(=O)O,0.89,0.688
Alanine,C[C@@H](N)C(=O)O,0.51,0.543
Ethanol,CCO,1.79,1.049
